num_strings,string_length,elapsed_time
3,4,0.000004
3,4,0.000004
3,4,0.000004
3,8,0.000095
3,8,0.000077
3,8,0.000126
3,16,0.154829
3,16,0.130860
3,16,0.105863
4,4,0.000016
4,4,0.000016
4,4,0.000016
4,8,0.000198
4,8,0.000207
4,8,0.000200
4,16,0.761097
4,16,0.753867
4,16,0.767221
5,4,0.000023
5,4,0.000028
5,4,0.000028
5,8,0.001264
5,8,0.001231
5,8,0.001186
5,16,5.104870
5,16,5.082022
5,16,5.106719
6,4,0.000032
6,4,0.000032
6,4,0.000030
6,8,0.006951
6,8,0.005762
6,8,0.005588
6,16,113.766717
6,16,113.674325
6,16,122.198519
