num_strings,string_length,elapsed_time
3,4,0.000001
3,4,0.000002
3,4,0.000001
3,8,0.000002
3,8,0.000002
3,8,0.000002
3,16,0.000003
3,16,0.000002
3,16,0.000002
4,4,0.000001
4,4,0.000001
4,4,0.000001
4,8,0.000002
4,8,0.000002
4,8,0.000002
4,16,0.000003
4,16,0.000003
4,16,0.000004
5,4,0.000002
5,4,0.000001
5,4,0.000002
5,8,0.000002
5,8,0.000002
5,8,0.000002
5,16,0.000003
5,16,0.000003
5,16,0.000003
6,4,0.000001
6,4,0.000001
6,4,0.000001
6,8,0.000002
6,8,0.000003
6,8,0.000002
6,16,0.000003
6,16,0.000004
6,16,0.000003
