num_strings,string_length,elapsed_time
3,4,0.000004
3,4,0.000004
3,4,0.000004
3,8,0.000078
3,8,0.000079
3,8,0.000088
3,12,0.024466
3,12,0.024270
3,12,0.023848
3,16,0.110794
3,16,0.151631
3,16,0.108400
4,4,0.000024
4,4,0.000023
4,4,0.000024
4,8,0.000308
4,8,0.000255
4,8,0.000257
4,12,0.037882
4,12,0.036187
4,12,0.035605
4,16,0.775048
4,16,0.783864
4,16,0.787046
5,4,0.000075
5,4,0.000024
5,4,0.000016
5,8,0.001204
5,8,0.001227
5,8,0.001228
5,12,0.101770
5,12,0.100952
5,12,0.096934
5,16,5.172605
5,16,5.220614
5,16,5.328621
6,4,0.000046
6,4,0.000031
6,4,0.000031
6,8,0.005972
6,8,0.006100
6,8,0.006989
6,12,0.824229
6,12,0.824628
6,12,0.829420
